TID;Time;Activity
1405;02:09;Added to queue 1
1521;02:09;Added to queue 1
1309;02:10;Added to queue 1
2502;02:10;Added to queue 1
2941;02:10;Added to queue 1
2159;02:12;Added to queue 1
2758;02:12;Added to queue 1
2471;02:13;Added to queue 1
2627;02:14;Added to queue 1
2820;02:14;Added to queue 1
1412;02:15;Added to queue 1
1413;02:15;Added to queue 1
1104;02:16;Added to queue 1
2813;02:16;Added to queue 1
3018;02:17;Added to queue 1
882;02:18;Added to queue 1
1691;02:18;Added to queue 1
106;02:20;Added to queue 1
1568;02:20;Added to queue 1
2296;02:20;Added to queue 1
2423;02:20;Added to queue 1
109;02:21;Added to queue 1
1981;02:21;Added to queue 1
2937;02:21;Added to queue 1
646;02:22;Added to queue 1
800;02:22;Added to queue 1
853;02:22;Added to queue 1
960;02:22;Added to queue 1
1070;02:22;Added to queue 1
1147;02:23;Added to queue 1
1235;02:23;Added to queue 1
2179;02:23;Added to queue 1
2593;02:23;Added to queue 1
787;02:24;Added to queue 1
2122;02:24;Added to queue 1
760;02:25;Added to queue 1
1882;02:25;Added to queue 1
134;02:26;Added to queue 1
2469;02:26;Added to queue 1
2909;02:26;Added to queue 1
1228;02:27;Added to queue 1
284;02:28;Added to queue 1
1187;02:28;Added to queue 1
1332;02:28;Added to queue 1
2337;02:28;Added to queue 1
2925;02:28;Added to queue 1
614;02:30;Added to queue 1
2168;02:30;Added to queue 1
2816;02:30;Added to queue 1
3000;02:30;Added to queue 1
211;02:31;Added to queue 1
2135;02:31;Added to queue 1
2990;02:31;Added to queue 1
1308;02:32;Added to queue 1
1342;02:34;Added to queue 1
222;02:35;Added to queue 1
2235;02:35;Added to queue 1
2491;02:35;Added to queue 1
1806;02:36;Added to queue 1
1168;02:37;Added to queue 1
2581;02:37;Added to queue 1
2629;02:38;Added to queue 1
1647;02:39;Added to queue 1
2619;02:39;Added to queue 1
1226;02:40;Added to queue 1
1559;02:40;Added to queue 1
1936;02:40;Added to queue 1
2838;02:40;Added to queue 1
300;02:41;Added to queue 1
837;02:41;Added to queue 1
1466;02:42;Added to queue 1
1863;02:42;Added to queue 1
2127;02:42;Added to queue 1
2983;02:42;Added to queue 1
1397;02:43;Added to queue 1
1055;02:44;Added to queue 1
1310;02:44;Added to queue 1
1903;02:44;Added to queue 1
1506;02:45;Added to queue 1
2705;02:45;Added to queue 1
2542;02:46;Added to queue 1
562;02:49;Added to queue 1
1827;02:49;Added to queue 1
2178;02:49;Added to queue 1
2692;02:49;Added to queue 1
1232;02:50;Added to queue 1
1948;02:50;Added to queue 1
1815;02:51;Added to queue 1
231;02:53;Added to queue 1
324;02:53;Added to queue 1
1507;02:53;Added to queue 1
2652;02:53;Added to queue 1
551;02:54;Added to queue 1
988;02:55;Added to queue 1
2160;02:55;Added to queue 1
1704;02:56;Added to queue 1
1917;02:56;Added to queue 1
2943;02:56;Added to queue 1
1809;02:57;Added to queue 1
183;02:58;Added to queue 1
979;02:59;Added to queue 1
1677;02:59;Added to queue 1
2427;02:59;Added to queue 1
260;03:00;Added to queue 1
994;03:00;Added to queue 1
1768;03:00;Added to queue 1
2476;03:01;Added to queue 1
346;03:02;Added to queue 1
1957;03:02;Added to queue 1
2550;03:02;Added to queue 1
309;03:03;Added to queue 1
565;03:03;Added to queue 1
350;03:05;Added to queue 1
739;03:05;Added to queue 1
1381;03:05;Added to queue 1
3057;03:05;Added to queue 1
924;03:06;Added to queue 1
1511;03:06;Added to queue 1
2774;03:06;Added to queue 1
207;03:07;Added to queue 1
1949;03:07;Added to queue 1
2229;03:07;Added to queue 1
2573;03:08;Added to queue 1
251;03:09;Added to queue 1
557;03:09;Added to queue 1
1693;03:09;Added to queue 1
2403;03:09;Added to queue 1
2718;03:09;Added to queue 1
2788;03:09;Added to queue 1
1066;03:11;Added to queue 1
1602;03:11;Added to queue 1
1841;03:11;Added to queue 1
2087;03:11;Added to queue 1
1313;03:12;Added to queue 1
1694;03:12;Added to queue 1
1258;03:13;Added to queue 1
1660;03:13;Added to queue 1
2193;03:13;Added to queue 1
2694;03:14;Added to queue 1
585;03:15;Added to queue 1
627;03:15;Added to queue 1
945;03:15;Added to queue 1
1285;03:15;Added to queue 1
1561;03:15;Added to queue 1
817;03:16;Added to queue 1
2224;03:17;Added to queue 1
2596;03:17;Added to queue 1
698;03:18;Added to queue 1
803;03:18;Added to queue 1
2717;03:18;Added to queue 1
2817;03:18;Added to queue 1
2368;03:19;Added to queue 1
2528;03:19;Added to queue 1
1016;03:20;Added to queue 1
1959;03:20;Added to queue 1
2153;03:20;Added to queue 1
1256;03:21;Added to queue 1
1190;03:22;Added to queue 1
2677;03:22;Added to queue 1
2735;03:22;Added to queue 1
2876;03:23;Added to queue 1
3080;03:23;Added to queue 1
2524;03:24;Added to queue 1
511;03:25;Added to queue 1
952;03:25;Added to queue 1
1967;03:25;Added to queue 1
3098;03:25;Added to queue 1
852;03:26;Added to queue 1
2245;03:26;Added to queue 1
1707;03:27;Added to queue 1
3088;03:27;Added to queue 1
165;03:28;Added to queue 1
725;03:28;Added to queue 1
1471;03:28;Added to queue 1
2620;03:28;Added to queue 1
1026;03:29;Added to queue 1
1672;03:33;Added to queue 1
1898;03:33;Added to queue 1
2487;03:33;Added to queue 1
2783;03:33;Added to queue 1
1095;03:34;Added to queue 1
2290;03:34;Added to queue 1
2426;03:35;Added to queue 1
460;03:36;Added to queue 1
715;03:36;Added to queue 1
1086;03:36;Added to queue 1
1823;03:36;Added to queue 1
2784;03:36;Added to queue 1
405;03:37;Added to queue 1
1997;03:37;Added to queue 1
2569;03:37;Added to queue 1
2642;03:37;Added to queue 1
1435;03:38;Added to queue 1
2598;03:38;Added to queue 1
1614;03:40;Added to queue 1
1915;03:40;Added to queue 1
2146;03:41;Added to queue 1
218;03:42;Added to queue 1
1857;03:42;Added to queue 1
758;03:43;Added to queue 1
890;03:43;Added to queue 1
1092;03:43;Added to queue 1
1259;03:43;Added to queue 1
1375;03:43;Added to queue 1
1410;03:43;Added to queue 1
2205;03:44;Added to queue 1
456;03:45;Added to queue 1
1642;03:45;Added to queue 1
783;03:46;Added to queue 1
1523;03:46;Added to queue 1
1872;03:47;Added to queue 1
2728;03:47;Added to queue 1
315;03:48;Added to queue 1
2720;03:48;Added to queue 1
748;03:50;Added to queue 1
2434;03:50;Added to queue 1
2875;03:50;Added to queue 1
489;03:51;Added to queue 1
1273;03:51;Added to queue 1
1492;03:51;Added to queue 1
166;03:52;Added to queue 1
2675;03:52;Added to queue 1
502;03:53;Added to queue 1
639;03:53;Added to queue 1
641;03:53;Added to queue 1
1778;03:53;Added to queue 1
2232;03:53;Added to queue 1
2782;03:53;Added to queue 1
1217;03:54;Added to queue 1
2846;03:55;Added to queue 1
2722;03:56;Added to queue 1
140;03:58;Added to queue 1
256;03:59;Added to queue 1
771;03:59;Added to queue 1
454;04:00;Added to queue 1
389;04:01;Added to queue 1
1385;04:01;Added to queue 1
1254;04:03;Added to queue 1
1333;04:03;Added to queue 1
1463;04:03;Added to queue 1
1931;04:03;Added to queue 1
1374;04:04;Added to queue 1
1539;04:04;Added to queue 1
1851;04:05;Added to queue 1
496;04:06;Added to queue 1
898;04:06;Added to queue 1
1426;04:06;Added to queue 1
2005;04:06;Added to queue 1
2552;04:06;Added to queue 1
2688;04:06;Added to queue 1
2950;04:06;Added to queue 1
498;04:07;Added to queue 1
2564;04:08;Added to queue 1
3001;04:09;Added to queue 1
1238;04:10;Added to queue 1
1769;04:10;Added to queue 1
338;04:11;Added to queue 1
527;04:11;Added to queue 1
2657;04:11;Added to queue 1
902;04:13;Added to queue 1
1812;04:13;Added to queue 1
2117;04:13;Added to queue 1
2277;04:13;Added to queue 1
2678;04:13;Added to queue 1
1458;04:14;Added to queue 1
1832;04:14;Added to queue 1
1252;04:15;Added to queue 1
2032;04:15;Added to queue 1
660;04:16;Added to queue 1
1525;04:16;Added to queue 1
759;04:17;Added to queue 1
996;04:17;Added to queue 1
332;04:18;Added to queue 1
2199;04:18;Added to queue 1
3066;04:18;Added to queue 1
596;04:19;Added to queue 1
2505;04:19;Added to queue 1
1340;04:20;Added to queue 1
1451;04:20;Added to queue 1
2270;04:20;Added to queue 1
2266;04:21;Added to queue 1
1344;04:22;Added to queue 1
1993;04:22;Added to queue 1
1720;04:23;Added to queue 1
2726;04:23;Added to queue 1
2931;04:23;Added to queue 1
1339;04:24;Added to queue 1
2850;04:24;Added to queue 1
959;04:25;Added to queue 1
2072;04:25;Added to queue 1
798;04:26;Added to queue 1
2080;04:26;Added to queue 1
1074;04:28;Added to queue 1
1301;04:28;Added to queue 1
2719;04:28;Added to queue 1
1020;04:30;Added to queue 1
2508;04:30;Added to queue 1
3075;04:30;Added to queue 1
2373;04:31;Added to queue 1
3038;04:31;Added to queue 1
2936;04:33;Added to queue 1
3100;04:33;Added to queue 1
2697;04:34;Added to queue 1
815;04:35;Added to queue 1
2863;04:35;Added to queue 1
1444;04:36;Added to queue 1
2246;04:36;Added to queue 1
358;04:37;Added to queue 1
903;04:37;Added to queue 1
1035;04:37;Added to queue 1
1352;04:37;Added to queue 1
2759;04:37;Added to queue 1
1576;04:38;Added to queue 1
2834;04:38;Added to queue 1
2841;04:39;Added to queue 1
2964;04:39;Added to queue 1
516;04:41;Added to queue 1
761;04:41;Added to queue 1
471;04:42;Added to queue 1
1150;04:42;Added to queue 1
2347;04:42;Added to queue 1
2412;04:42;Added to queue 1
825;04:44;Added to queue 1
2295;04:45;Added to queue 1
2714;04:45;Added to queue 1
594;04:46;Added to queue 1
1782;04:46;Added to queue 1
2732;04:46;Added to queue 1
628;04:47;Added to queue 1
966;04:47;Added to queue 1
1548;04:47;Added to queue 1
2350;04:47;Added to queue 1
268;04:49;Added to queue 1
2628;04:49;Added to queue 1
3021;04:49;Added to queue 1
2869;04:50;Added to queue 1
1972;04:51;Added to queue 1
2839;04:51;Added to queue 1
1496;04:52;Added to queue 1
179;04:54;Added to queue 1
925;04:54;Added to queue 1
773;04:55;Added to queue 1
1230;04:56;Added to queue 1
508;04:57;Added to queue 1
2276;04:57;Added to queue 1
280;05:01;Added to queue 1
634;05:01;Added to queue 1
813;05:01;Added to queue 1
1050;05:01;Added to queue 1
2559;05:01;Added to queue 1
2665;05:01;Added to queue 1
360;05:02;Added to queue 1
804;05:02;Added to queue 1
2218;05:02;Added to queue 1
517;05:03;Added to queue 1
935;05:04;Added to queue 1
1644;05:04;Added to queue 1
1670;05:04;Added to queue 1
2474;05:05;Added to queue 1
2833;05:05;Added to queue 1
615;05:07;Added to queue 1
637;05:07;Added to queue 1
920;05:07;Added to queue 1
716;05:08;Added to queue 1
1183;05:08;Added to queue 1
2916;05:09;Added to queue 1
1485;05:11;Added to queue 1
2623;05:11;Added to queue 1
2934;05:11;Added to queue 1
1457;05:12;Added to queue 1
1545;05:13;Added to queue 1
2599;05:13;Added to queue 1
1351;05:14;Added to queue 1
1172;05:15;Added to queue 1
1300;05:15;Added to queue 1
2451;05:15;Added to queue 1
2632;05:15;Added to queue 1
2574;05:16;Added to queue 1
1881;05:17;Added to queue 1
1929;05:17;Added to queue 1
2945;05:17;Added to queue 1
780;05:18;Added to queue 1
1565;05:19;Added to queue 1
2724;05:19;Added to queue 1
130;05:21;Added to queue 1
474;05:21;Added to queue 1
1481;05:21;Added to queue 1
3085;05:21;Added to queue 1
2017;05:22;Added to queue 1
1734;05:23;Added to queue 1
1743;05:23;Added to queue 1
1986;05:23;Added to queue 1
2346;05:25;Added to queue 1
526;05:26;Added to queue 1
1212;05:26;Added to queue 1
2420;05:26;Added to queue 1
2736;05:26;Added to queue 1
2785;05:26;Added to queue 1
3095;05:28;Added to queue 1
1271;05:29;Added to queue 1
1767;05:29;Added to queue 1
2291;05:29;Added to queue 1
438;05:30;Added to queue 1
2699;05:30;Added to queue 1
3056;05:30;Added to queue 1
3034;05:31;Added to queue 1
1382;05:32;Added to queue 1
3083;05:32;Added to queue 1
1371;05:34;Added to queue 1
2650;05:34;Added to queue 1
128;05:35;Added to queue 1
816;05:35;Added to queue 1
1428;05:35;Added to queue 1
2803;05:35;Added to queue 1
2905;05:35;Added to queue 1
289;05:36;Added to queue 1
969;05:36;Added to queue 1
2002;05:36;Added to queue 1
2260;05:38;Added to queue 1
1205;05:39;Added to queue 1
2053;05:39;Added to queue 1
1184;05:40;Added to queue 1
355;05:41;Added to queue 1
2166;05:41;Added to queue 1
131;05:42;Added to queue 1
1039;05:43;Added to queue 1
1433;05:43;Added to queue 1
2254;05:43;Added to queue 1
185;05:44;Added to queue 1
2493;05:44;Added to queue 1
1330;05:45;Added to queue 1
2978;05:45;Added to queue 1
233;05:46;Added to queue 1
914;05:47;Added to queue 1
1200;05:47;Added to queue 1
1824;05:47;Added to queue 1
121;05:48;Added to queue 1
2131;05:48;Added to queue 1
3033;05:48;Added to queue 1
163;05:49;Added to queue 1
429;05:49;Added to queue 1
941;05:49;Added to queue 1
975;05:49;Added to queue 1
2764;05:49;Added to queue 1
1883;05:50;Added to queue 1
135;05:51;Added to queue 1
911;05:51;Added to queue 1
1296;05:51;Added to queue 1
1776;05:51;Added to queue 1
1880;05:51;Added to queue 1
2539;05:51;Added to queue 1
1538;05:52;Added to queue 1
2362;05:52;Added to queue 1
2973;05:53;Added to queue 1
236;05:54;Added to queue 1
261;05:54;Added to queue 1
518;05:54;Added to queue 1
957;05:54;Added to queue 1
1597;05:54;Added to queue 1
410;05:55;Added to queue 1
1159;05:55;Added to queue 1
1637;05:55;Added to queue 1
1009;05:56;Added to queue 1
1131;05:56;Added to queue 1
1425;05:56;Added to queue 1
3008;05:56;Added to queue 1
1316;05:57;Added to queue 1
145;05:58;Added to queue 1
2824;05:58;Added to queue 1
2438;05:59;Added to queue 1
3053;05:59;Added to queue 1
244;06:01;Added to queue 1
1858;06:01;Added to queue 1
649;06:02;Added to queue 1
417;06:03;Added to queue 1
611;06:04;Added to queue 1
2263;06:04;Added to queue 1
2468;06:04;Added to queue 1
913;06:05;Added to queue 1
2079;06:05;Added to queue 1
2271;06:05;Added to queue 1
2521;06:05;Added to queue 1
2509;06:06;Added to queue 1
1390;06:07;Added to queue 1
416;06:08;Added to queue 1
2904;06:09;Added to queue 1
180;06:10;Added to queue 1
509;06:10;Added to queue 1
2402;06:10;Added to queue 1
2706;06:10;Added to queue 1
190;06:11;Added to queue 1
2267;06:13;Added to queue 1
2767;06:13;Added to queue 1
468;06:14;Added to queue 1
1594;06:14;Added to queue 1
426;06:15;Added to queue 1
1610;06:15;Added to queue 1
2681;06:15;Added to queue 1
311;06:16;Added to queue 1
1889;06:16;Added to queue 1
1941;06:16;Added to queue 1
1800;06:17;Added to queue 1
2746;06:17;Added to queue 1
777;06:18;Added to queue 1
1871;06:18;Added to queue 1
283;06:19;Added to queue 1
1067;06:19;Added to queue 1
2121;06:19;Added to queue 1
1324;06:20;Added to queue 1
2618;06:20;Added to queue 1
1418;06:21;Added to queue 1
2244;06:21;Added to queue 1
3013;06:21;Added to queue 1
605;06:22;Added to queue 1
1553;06:22;Added to queue 1
788;06:23;Added to queue 1
1814;06:23;Added to queue 1
2517;06:23;Added to queue 1
2209;06:25;Added to queue 1
672;06:26;Added to queue 1
918;06:26;Added to queue 1
2326;06:26;Added to queue 1
3054;06:26;Added to queue 1
542;06:27;Added to queue 1
1265;06:27;Added to queue 1
2367;06:27;Added to queue 1
3063;06:27;Added to queue 1
281;06:29;Added to queue 1
983;06:29;Added to queue 1
1562;06:29;Added to queue 1
696;06:30;Added to queue 1
1100;06:30;Added to queue 1
2775;06:30;Added to queue 1
2661;06:31;Added to queue 1
3044;06:31;Added to queue 1
372;06:32;Added to queue 1
1331;06:32;Added to queue 1
1530;06:32;Added to queue 1
193;06:33;Added to queue 1
1970;06:33;Added to queue 1
2363;06:33;Added to queue 1
2879;06:33;Added to queue 1
2358;06:34;Added to queue 1
340;06:35;Added to queue 1
1245;06:35;Added to queue 1
1888;06:35;Added to queue 1
1420;06:36;Added to queue 1
1779;06:36;Added to queue 1
2853;06:36;Added to queue 1
239;06:37;Added to queue 1
1411;06:38;Added to queue 1
1725;06:38;Added to queue 1
1808;06:38;Added to queue 1
2107;06:38;Added to queue 1
2452;06:38;Added to queue 1
2483;06:38;Added to queue 1
2653;06:39;Added to queue 1
2825;06:39;Added to queue 1
2874;06:39;Added to queue 1
137;06:40;Added to queue 1
927;06:40;Added to queue 1
2313;06:40;Added to queue 1
2918;06:40;Added to queue 1
445;06:41;Added to queue 1
2996;06:41;Added to queue 1
1191;06:42;Added to queue 1
1210;06:42;Added to queue 1
1532;06:43;Added to queue 1
2289;06:43;Added to queue 1
1182;06:44;Added to queue 1
943;06:45;Added to queue 1
1373;06:45;Added to queue 1
1403;06:45;Added to queue 1
1982;06:45;Added to queue 1
2461;06:45;Added to queue 1
2520;06:45;Added to queue 1
3091;06:45;Added to queue 1
2460;06:46;Added to queue 1
206;06:47;Added to queue 1
1712;06:47;Added to queue 1
1750;06:47;Added to queue 1
2656;06:47;Added to queue 1
1206;06:48;Added to queue 1
1916;06:48;Added to queue 1
2157;06:48;Added to queue 1
2566;06:49;Added to queue 1
367;06:50;Added to queue 1
1537;06:50;Added to queue 1
1255;06:51;Added to queue 1
2274;06:51;Added to queue 1
2673;06:51;Added to queue 1
478;06:52;Added to queue 1
2710;06:52;Added to queue 1
2243;06:53;Added to queue 1
1384;06:55;Added to queue 1
2011;06:55;Added to queue 1
2425;06:55;Added to queue 1
299;06:56;Added to queue 1
1842;06:56;Added to queue 1
3012;06:56;Added to queue 1
905;06:58;Added to queue 1
1679;06:58;Added to queue 1
2410;06:58;Added to queue 1
2971;06:58;Added to queue 1
968;06:59;Added to queue 1
1514;06:59;Added to queue 1
1659;06:59;Added to queue 1
1583;07:00;Added to queue 1
1215;07:01;Added to queue 1
2022;07:01;Added to queue 1
2962;07:01;Added to queue 1
2844;07:03;Added to queue 1
2762;07:05;Added to queue 1
297;07:06;Added to queue 1
1222;07:06;Added to queue 1
681;07:07;Added to queue 1
2900;07:08;Added to queue 1
670;07:09;Added to queue 1
101;07:10;Added to queue 1
571;07:10;Added to queue 1
892;07:10;Added to queue 1
1269;07:10;Added to queue 1
1954;07:10;Added to queue 1
2335;07:10;Added to queue 1
2441;07:10;Added to queue 1
356;07:12;Added to queue 1
512;07:12;Added to queue 1
711;07:12;Added to queue 1
2149;07:13;Added to queue 1
2680;07:13;Added to queue 1
1793;07:14;Added to queue 1
2707;07:15;Added to queue 1
1661;07:16;Added to queue 1
2202;07:16;Added to queue 1
2639;07:16;Added to queue 1
2928;07:17;Added to queue 1
1075;07:18;Added to queue 1
1264;07:18;Added to queue 1
2640;07:18;Added to queue 1
2968;07:18;Added to queue 1
530;07:19;Added to queue 1
973;07:19;Added to queue 1
1077;07:19;Added to queue 1
1392;07:19;Added to queue 1
2340;07:19;Added to queue 1
2857;07:19;Added to queue 1
590;07:22;Added to queue 1
662;07:22;Added to queue 1
806;07:23;Added to queue 1
1893;07:24;Added to queue 1
2092;07:24;Added to queue 1
486;07:26;Added to queue 1
623;07:26;Added to queue 1
1567;07:26;Added to queue 1
655;07:27;Added to queue 1
1157;07:27;Added to queue 1
1934;07:27;Added to queue 1
1241;07:28;Added to queue 1
1705;07:28;Added to queue 1
2942;07:28;Added to queue 1
1021;07:29;Added to queue 1
2966;07:30;Added to queue 1
580;07:31;Added to queue 1
768;07:31;Added to queue 1
1711;07:31;Added to queue 1
1873;07:31;Added to queue 1
2933;07:31;Added to queue 1
692;07:32;Added to queue 1
791;07:32;Added to queue 1
225;07:33;Added to queue 1
1830;07:33;Added to queue 1
427;07:34;Added to queue 1
1045;07:35;Added to queue 1
151;07:36;Added to queue 1
1249;07:36;Added to queue 1
1346;07:36;Added to queue 1
490;07:37;Added to queue 1
