TID;Time;Value;FromParticipantId;FromAccountId;ToParticipantId;ToAccountId;Linkcode;Starttime
60;2024-01-01 01:43:44;80447641.7;6;3;3;3;1190;2024-01-01 01:43:44
61;2024-01-01 01:43:52;78204539.39;1;0;5;0;886;2024-01-01 01:43:52
62;2024-01-01 01:44:43;149173559.24;5;0;1;0;510;2024-01-01 01:44:43
63;2024-01-01 01:44:56;42825758.32;5;0;6;0;618;2024-01-01 01:44:56
64;2024-01-01 01:45:05;127426789.22;4;0;8;0;664;2024-01-01 01:45:05
65;2024-01-01 01:45:15;8479202.86;1;1;7;1;939;2024-01-01 01:45:15
66;2024-01-01 01:45:17;156831740.47;5;0;2;0;450;2024-01-01 01:45:17
67;2024-01-01 01:46:00;94519407.56;8;0;6;0;693;2024-01-01 01:46:00
68;2024-01-01 01:46:57;8370077.56;1;3;7;3;1060;2024-01-01 01:46:57
69;2024-01-01 01:46:58;72417177.25;6;0;4;0;1235;2024-01-01 01:46:58
70;2024-01-01 01:47:30;34468400.44;6;4;7;4;1106;2024-01-01 01:47:30
72;2024-01-01 01:47:41;32354148.97;4;0;2;0;369;2024-01-01 01:47:41
73;2024-01-01 01:47:42;58639810.11;6;0;8;0;581;2024-01-01 01:47:42
75;2024-01-01 01:48:41;24521231.22;8;2;3;2;1126;2024-01-01 01:48:41
76;2024-01-01 01:48:42;57079916.22;1;3;4;3;596;2024-01-01 01:48:42
77;2024-01-01 01:48:47;117718068.85;1;4;3;4;57;2024-01-01 01:48:47
78;2024-01-01 01:49:12;51795794.58;1;0;8;0;1166;2024-01-01 01:49:12
79;2024-01-01 01:49:18;102660459.1;1;0;5;0;147;2024-01-01 01:49:18
80;2024-01-01 01:49:55;103410053.91;5;0;6;0;751;2024-01-01 01:49:55
81;2024-01-01 01:50:04;86142186.27;7;0;3;0;378;2024-01-01 01:50:04
82;2024-01-01 01:50:22;47520727.73;7;1;1;1;164;2024-01-01 01:50:22
84;2024-01-01 01:51:06;112906878.39;3;0;1;0;805;2024-01-01 01:51:06
85;2024-01-01 01:51:22;39743737.33;8;1;3;1;1128;2024-01-01 01:51:22
86;2024-01-01 01:51:32;44241520.78;3;0;4;0;1074;2024-01-01 01:51:32
87;2024-01-01 01:51:41;157160638.09;5;0;4;0;25;2024-01-01 01:51:41
88;2024-01-01 01:51:46;67180985.35;7;4;2;4;492;2024-01-01 01:51:46
89;2024-01-01 01:51:51;51613356.62;1;4;2;4;825;2024-01-01 01:51:51
90;2024-01-01 01:51:54;63688634.73;4;0;2;0;699;2024-01-01 01:51:54
91;2024-01-01 01:52:13;42542809.56;7;2;2;2;364;2024-01-01 01:52:13
92;2024-01-01 01:52:33;44968164.4;2;0;6;0;911;2024-01-01 01:52:33
93;2024-01-01 01:52:35;46235825.79;6;3;2;3;569;2024-01-01 01:52:35
94;2024-01-01 01:53:01;102930393.51;3;0;6;0;61;2024-01-01 01:53:01
95;2024-01-01 01:53:19;20701757.48;3;0;1;0;1054;2024-01-01 01:53:19
97;2024-01-01 01:54:14;93611689.86;6;3;8;3;213;2024-01-01 01:54:14
98;2024-01-01 01:54:14;64304441.49;1;3;7;3;1055;2024-01-01 01:54:14
101;2024-01-01 01:55:19;54555147.0;7;4;1;4;434;2024-01-01 01:55:19
102;2024-01-01 01:55:19;83804125.99;4;4;6;4;297;2024-01-01 01:55:19
103;2024-01-01 01:55:37;105162017.59;3;3;8;3;890;2024-01-01 01:55:37
104;2024-01-01 01:56:22;50457805.85;8;0;6;0;247;2024-01-01 01:56:22
105;2024-01-01 01:56:24;6170251.06;8;0;3;0;389;2024-01-01 01:56:24
107;2024-01-01 01:56:41;80804568.42;4;3;8;3;1009;2024-01-01 01:56:41
108;2024-01-01 01:56:45;131567208.88;5;0;1;0;942;2024-01-01 01:56:45
109;2024-01-01 01:57:05;64277879.92;7;4;1;4;549;2024-01-01 01:57:05
110;2024-01-01 01:57:22;68495195.7;7;1;2;1;144;2024-01-01 01:57:22
111;2024-01-01 01:57:26;148521699.55;4;0;8;0;850;2024-01-01 01:57:26
112;2024-01-01 01:57:56;103162508.6;8;0;7;0;893;2024-01-01 01:57:56
113;2024-01-01 01:58:00;29452606.28;3;0;4;0;128;2024-01-01 01:58:00
116;2024-01-01 01:58:21;114545402.31;6;2;2;2;276;2024-01-01 01:58:21
118;2024-01-01 01:58:23;77560686.22;7;4;4;4;674;2024-01-01 01:58:23
119;2024-01-01 01:58:56;43968987.43;8;0;7;0;496;2024-01-01 01:58:56
121;2024-01-01 01:59:29;21711290.15;5;4;1;4;978;2024-01-01 01:59:29
122;2024-01-01 01:59:46;7502724.69;8;3;1;3;530;2024-01-01 01:59:46
123;2024-01-01 01:59:52;68015798.16;6;4;2;4;856;2024-01-01 01:59:52
126;2024-01-01 02:00:30;11902806.1;5;3;7;3;537;2024-01-01 02:00:30
127;2024-01-01 02:01:04;31987246.51;4;0;7;0;285;2024-01-01 02:01:04
128;2024-01-01 02:01:55;55310517.66;7;3;2;3;355;2024-01-01 02:01:55
130;2024-01-01 02:03:05;29913927.32;5;0;8;0;1053;2024-01-01 02:03:05
132;2024-01-01 02:03:54;152082716.96;3;3;4;3;70;2024-01-01 02:03:54
134;2024-01-01 02:04:31;66036050.31;4;4;7;4;717;2024-01-01 02:04:31
135;2024-01-01 02:04:39;49085258.42;5;0;7;0;1135;2024-01-01 02:04:39
136;2024-01-01 02:04:40;11758137.75;2;0;7;0;1013;2024-01-01 02:04:40
137;2024-01-01 02:06:12;51485939.21;8;1;7;1;2;2024-01-01 02:06:12
138;2024-01-01 02:06:29;24974114.98;6;0;5;0;69;2024-01-01 02:06:29
139;2024-01-01 02:06:37;80598816.44;7;1;8;1;31;2024-01-01 02:06:37
140;2024-01-01 02:07:50;24407351.87;3;0;5;0;779;2024-01-01 02:07:50
141;2024-01-01 02:07:50;87291639.83;7;2;8;2;796;2024-01-01 02:07:50
142;2024-01-01 02:08:20;95072560.87;2;0;3;0;769;2024-01-01 02:08:20
143;2024-01-01 02:08:30;11989900.53;1;0;3;0;560;2024-01-01 02:08:30
144;2024-01-01 02:08:31;77084243.56;6;4;2;4;909;2024-01-01 02:08:31
145;2024-01-01 02:08:33;141258692.29;5;0;6;0;1100;2024-01-01 02:08:33
146;2024-01-01 02:09:07;64352372.26;2;4;3;4;209;2024-01-01 02:09:07
147;2024-01-01 02:09:38;33134070.73;1;0;8;0;509;2024-01-01 02:09:38
148;2024-01-01 02:09:47;38306703.13;5;0;3;0;944;2024-01-01 02:09:47
149;2024-01-01 02:09:47;75563683.85;2;3;8;3;140;2024-01-01 02:09:47
150;2024-01-01 02:09:55;33105244.74;3;4;8;4;846;2024-01-01 02:09:55
151;2024-01-01 02:10:20;59048319.09;7;0;8;0;676;2024-01-01 02:10:20
152;2024-01-01 02:10:32;32316677.84;7;0;6;0;1020;2024-01-01 02:10:32
153;2024-01-01 02:11:05;36745480.88;6;0;2;0;905;2024-01-01 02:11:05
154;2024-01-01 02:11:14;19672323.87;4;1;8;1;1220;2024-01-01 02:11:14
155;2024-01-01 02:11:52;68744475.15;6;2;2;2;261;2024-01-01 02:11:52
156;2024-01-01 02:12:28;13218453.87;1;4;7;4;804;2024-01-01 02:12:28
157;2024-01-01 02:12:51;162771741.65;5;0;2;0;185;2024-01-01 02:12:51
158;2024-01-01 02:13:03;13462072.43;4;1;2;1;317;2024-01-01 02:13:03
159;2024-01-01 02:13:06;127782337.0;4;0;2;0;307;2024-01-01 02:13:06
160;2024-01-01 02:13:23;13703826.67;2;0;7;0;1198;2024-01-01 02:13:23
161;2024-01-01 02:13:37;110488536.18;7;2;4;2;402;2024-01-01 02:13:37
162;2024-01-01 02:13:37;78630456.4;2;0;3;0;1087;2024-01-01 02:13:37
163;2024-01-01 02:13:45;36748623.25;5;4;1;4;506;2024-01-01 02:13:45
164;2024-01-01 02:13:55;66154634.29;4;3;2;3;633;2024-01-01 02:13:55
165;2024-01-01 02:13:58;73036793.36;4;2;3;2;302;2024-01-01 02:13:58
166;2024-01-01 02:14:03;62724922.44;8;2;6;2;822;2024-01-01 02:14:03
168;2024-01-01 02:14:31;61356694.07;2;2;3;2;885;2024-01-01 02:14:31
169;2024-01-01 02:14:49;89440214.23;6;1;8;1;38;2024-01-01 02:14:49
170;2024-01-01 02:14:58;90033897.46;7;1;3;1;837;2024-01-01 02:14:58
171;2024-01-01 02:15:08;72293148.12;4;4;7;4;898;2024-01-01 02:15:08
172;2024-01-01 02:15:17;101664510.03;3;4;2;4;776;2024-01-01 02:15:17
173;2024-01-01 02:15:27;120616601.15;2;1;1;1;238;2024-01-01 02:15:27
174;2024-01-01 02:15:29;77610146.1;3;2;6;2;394;2024-01-01 02:15:29
175;2024-01-01 02:15:29;100590300.57;1;0;3;0;1015;2024-01-01 02:15:29
176;2024-01-01 02:15:40;36241496.67;7;1;2;1;777;2024-01-01 02:15:40
178;2024-01-01 02:16:01;45407135.94;3;1;7;1;992;2024-01-01 02:16:01
179;2024-01-01 02:16:01;88412982.3;3;0;5;0;41;2024-01-01 02:16:01
180;2024-01-01 02:16:37;57860715.31;6;3;5;3;507;2024-01-01 02:16:37
181;2024-01-01 02:16:37;68468486.19;2;2;8;2;1161;2024-01-01 02:16:37
182;2024-01-01 02:17:03;25287274.82;2;1;4;1;339;2024-01-01 02:17:03
183;2024-01-01 02:17:10;6819136.69;6;0;1;0;18;2024-01-01 02:17:10
184;2024-01-01 02:17:27;40363360.88;2;3;6;3;275;2024-01-01 02:17:27
185;2024-01-01 02:18:06;84361250.31;6;0;8;0;68;2024-01-01 02:18:06
186;2024-01-01 02:18:25;30209064.63;5;4;7;4;289;2024-01-01 02:18:25
187;2024-01-01 02:18:40;50784314.85;7;1;4;1;407;2024-01-01 02:18:40
189;2024-01-01 02:19:15;124223638.21;7;4;1;4;1067;2024-01-01 02:19:15
190;2024-01-01 02:19:19;8126531.68;6;1;1;1;681;2024-01-01 02:19:19
191;2024-01-01 02:19:42;92569420.14;5;4;8;4;232;2024-01-01 02:19:42
195;2024-01-01 02:22:52;47060873.55;5;4;8;4;913;2024-01-01 02:22:52
196;2024-01-01 02:23:10;27921252.91;2;4;3;4;739;2024-01-01 02:23:10
197;2024-01-01 02:23:28;107800843.04;3;0;6;0;161;2024-01-01 02:23:28
198;2024-01-01 02:23:29;60203540.25;2;0;7;0;848;2024-01-01 02:23:29
199;2024-01-01 02:23:30;149072358.31;5;0;7;0;470;2024-01-01 02:23:30
200;2024-01-01 02:23:44;122157646.44;2;2;4;2;690;2024-01-01 02:23:44
201;2024-01-01 02:24:17;8791802.57;3;3;4;3;1122;2024-01-01 02:24:17
202;2024-01-01 02:24:24;37148754.65;4;0;3;0;784;2024-01-01 02:24:24
203;2024-01-01 02:24:24;48426947.41;1;4;5;4;251;2024-01-01 02:24:24
204;2024-01-01 02:25:04;36193839.56;7;0;1;0;1061;2024-01-01 02:25:04
205;2024-01-01 02:25:23;82587882.63;2;2;8;2;703;2024-01-01 02:25:23
206;2024-01-01 02:25:42;114312638.74;3;4;8;4;524;2024-01-01 02:25:42
207;2024-01-01 02:25:52;26529636.71;7;0;1;0;10;2024-01-01 02:25:52
208;2024-01-01 02:25:54;100734880.66;1;3;4;3;356;2024-01-01 02:25:54
209;2024-01-01 02:26:10;52899566.47;3;0;2;0;1003;2024-01-01 02:26:10
210;2024-01-01 02:26:39;68675956.93;1;2;8;2;51;2024-01-01 02:26:39
211;2024-01-01 02:26:55;94312029.11;4;0;1;0;395;2024-01-01 02:26:55
212;2024-01-01 02:27:08;78312285.94;6;2;1;2;1163;2024-01-01 02:27:08
213;2024-01-01 02:27:24;128054367.39;5;0;4;0;449;2024-01-01 02:27:24
214;2024-01-01 02:27:55;11503235.89;3;0;2;0;1213;2024-01-01 02:27:55
215;2024-01-01 02:28:05;90218247.91;2;0;1;0;252;2024-01-01 02:28:05
216;2024-01-01 02:28:12;36141262.94;1;0;4;0;522;2024-01-01 02:28:12
217;2024-01-01 02:28:13;73127111.77;5;0;7;0;675;2024-01-01 02:28:13
218;2024-01-01 02:28:45;38394238.06;1;2;2;2;1073;2024-01-01 02:28:45
219;2024-01-01 02:29:11;26130538.33;5;2;2;2;194;2024-01-01 02:29:11
220;2024-01-01 02:29:17;26194499.36;7;0;8;0;127;2024-01-01 02:29:17
221;2024-01-01 02:29:28;45493392.15;8;4;3;4;361;2024-01-01 02:29:28
222;2024-01-01 02:29:33;56376112.79;3;0;7;0;974;2024-01-01 02:29:33
224;2024-01-01 02:30:01;149827666.57;3;1;5;1;67;2024-01-01 02:30:01
225;2024-01-01 02:31:19;67911307.37;1;2;3;2;712;2024-01-01 02:31:19
226;2024-01-01 02:31:28;30468530.55;8;1;3;1;691;2024-01-01 02:31:28
228;2024-01-01 02:31:47;75291315.27;1;4;6;4;903;2024-01-01 02:31:47
230;2024-01-01 02:32:13;136623527.99;5;0;4;0;65;2024-01-01 02:32:13
231;2024-01-01 02:32:32;18121935.92;3;3;2;3;440;2024-01-01 02:32:32
232;2024-01-01 02:33:02;112340333.27;8;0;7;0;1181;2024-01-01 02:33:02
233;2024-01-01 02:33:50;11479978.58;3;2;2;2;929;2024-01-01 02:33:50
234;2024-01-01 02:34:19;61325875.25;8;0;7;0;1030;2024-01-01 02:34:19
235;2024-01-01 02:34:34;77270447.15;5;3;1;3;612;2024-01-01 02:34:34
236;2024-01-01 02:34:53;21053410.57;3;2;8;2;1021;2024-01-01 02:34:53
237;2024-01-01 02:35:06;30277988.9;3;2;1;2;640;2024-01-01 02:35:06
238;2024-01-01 02:35:15;144337286.07;3;3;4;3;1152;2024-01-01 02:35:15
239;2024-01-01 02:35:45;71497505.17;5;3;3;3;695;2024-01-01 02:35:45
240;2024-01-01 02:35:50;85710383.57;4;4;3;4;461;2024-01-01 02:35:50
241;2024-01-01 02:35:52;34612281.37;1;0;6;0;249;2024-01-01 02:35:52
243;2024-01-01 02:36:14;133679255.78;4;0;2;0;698;2024-01-01 02:36:14
244;2024-01-01 02:36:34;125326960.62;2;1;1;1;262;2024-01-01 02:36:34
245;2024-01-01 02:37:17;87014804.28;1;0;7;0;167;2024-01-01 02:37:17
246;2024-01-01 02:37:17;47426086.71;5;0;8;0;256;2024-01-01 02:37:17
247;2024-01-01 02:37:34;70241291.32;4;0;3;0;704;2024-01-01 02:37:34
248;2024-01-01 02:37:48;66471644.46;8;0;6;0;617;2024-01-01 02:37:48
249;2024-01-01 02:38:10;128997188.49;4;1;1;1;170;2024-01-01 02:38:10
250;2024-01-01 02:38:27;33794450.78;1;2;7;2;1079;2024-01-01 02:38:27
251;2024-01-01 02:39:09;9499555.47;2;0;7;0;284;2024-01-01 02:39:09
252;2024-01-01 02:39:19;37997899.26;4;0;5;0;728;2024-01-01 02:39:19
253;2024-01-01 02:39:24;84541855.03;6;0;5;0;45;2024-01-01 02:39:24
254;2024-01-01 02:39:33;117302629.66;2;2;5;2;91;2024-01-01 02:39:33
255;2024-01-01 02:39:33;61950851.7;1;3;6;3;26;2024-01-01 02:39:33
256;2024-01-01 02:39:42;16811873.79;4;0;6;0;732;2024-01-01 02:39:42
257;2024-01-01 02:40:26;8629023.39;7;0;3;0;663;2024-01-01 02:40:26
258;2024-01-01 02:41:20;10346129.04;8;0;1;0;1123;2024-01-01 02:41:20
259;2024-01-01 02:41:45;90989221.95;4;3;1;3;660;2024-01-01 02:41:45
260;2024-01-01 02:42:01;112371418.68;8;0;5;0;1098;2024-01-01 02:42:01
261;2024-01-01 02:42:20;34767225.9;7;0;3;0;964;2024-01-01 02:42:20
263;2024-01-01 02:42:49;17593474.32;7;1;3;1;665;2024-01-01 02:42:49
264;2024-01-01 02:42:53;104199223.85;6;0;3;0;1177;2024-01-01 02:42:53
267;2024-01-01 02:43:37;10856572.21;4;3;5;3;1088;2024-01-01 02:43:37
268;2024-01-01 02:43:49;46199287.56;7;0;6;0;700;2024-01-01 02:43:49
269;2024-01-01 02:44:22;51333424.62;4;3;2;3;953;2024-01-01 02:44:22
270;2024-01-01 02:45:13;48278190.74;8;0;3;0;922;2024-01-01 02:45:13
272;2024-01-01 02:46:05;72280008.87;4;4;7;4;880;2024-01-01 02:46:05
